	FAD	LAD
Undescribed_sphenosuchian	237	234
Junggarsuchus_sloani	166.1	163.5
Almadasuchus_figarii	157.3	152.1
Protosuchus_haughtoni	201.3	190.8
Eopneumatosuchus_colberti	199.3	182.7
cf_Hamadasuchus_rebouli	113	100.5
Campinasuchus_dinizi	83.6	66
Eutretauranosuchus_delfsi	157.3	152.1
Rhabdognathus_aslerensis	61.6	56
Shamosuchus_djadochtaensis	83	72
Lohuecosuchus_megadontos	83.6	70
Gavialis_gangeticus	1	0
Tomistoma_schlegelii	1	0
Osteolaemus_tetraspis	1	0
Mecistops_cataphractus	1	0
Crocodylus_acutus	1	0
Crocodylus_johnstoni	1	0
Crocodylus_moreletii	1	0
Crocodylus_niloticus	1	0
Crocodylus_porosus	1	0
Crocodylus_rhombifer	1	0
Alligator_mississippiensis	1	0
Alligator_sinensis	1	0
Caiman_crocodilus	1	0
Paleosuchus_palpebrosus	1	0
Plagiophthalmosuchus_gracilirostris	182.7	180
Macrospondylus_bollensis	182.7	180
Charitomenosuchus_leedsi	165	163.5
Pelagosaurus_typus	182.7	180
Cricosaurus_schroederi	139.8	136
Cricosaurus_araucanensis	150	145
Thalattosuchus_superciliosus	166.1	162
Metriorhynchus_brachyrhynchus	165	163.5
Torvoneustes_coryphaeus	157.3	154
Plesiosuchus_manselii	154	150
