	FAD	LAD
Junggarsuchus_sloani	166.1	163.5
Protosuchus_haughtoni	201.3	190.8
cf_Hamadasuchus_rebouli	113	100.5
Campinasuchus_dinizi	83.6	66
Lohuecosuchus_megadontos	83.6	70
Gavialis_gangeticus	1	0
Tomistoma_schlegelii	1	0
Osteolaemus_tetraspis	1	0
Mecistops_cataphractus	1	0
Crocodylus_acutus	1	0
Crocodylus_johnstoni	1	0
Crocodylus_moreletii	1	0
Crocodylus_niloticus	1	0
Crocodylus_porosus	1	0
Crocodylus_rhombifer	1	0
Alligator_mississippiensis	1	0
Alligator_sinensis	1	0
Caiman_crocodilus	1	0
Paleosuchus_palpebrosus	1	0
Plagiophthalmosuchus_gracilirostris	182.7	180
Macrospondylus_bollensis	182.7	180
Pelagosaurus_typus	182.7	180
Eoneustes_gaudryi	168.3	166.1
Cricosaurus_schroederi	139.8	136
Cricosaurus_araucanensis	150	145
Thalattosuchus_superciliosus	166.1	162
