,Species,HabitatS2020,HabitatW2019,HabitatSimple,Clade,Thalattosuchian,Metriorhynchid,Terrestrial,Aquatic,Freshwater,Marine,Pelagic,Semiaquatic
Undescribed_sphenosuchian,Undescribed_sphenosuchian,Terrestrial,Terrestrial,Terrestrial,Sphenosuchia,No,No,Yes,No,No,No,No,No
Junggarsuchus_sloani,Junggarsuchus_sloani,Terrestrial,Terrestrial,Terrestrial,Sphenosuchia,No,No,Yes,No,No,No,No,No
Almadasuchus_figarii,Almadasuchus_figarii,Terrestrial,Terrestrial,Terrestrial,Sphenosuchia,No,No,Yes,No,No,No,No,No
Protosuchus_haughtoni,Protosuchus_haughtoni,Terrestrial,Terrestrial,Terrestrial,Protosuchia,No,No,Yes,No,No,No,No,No
Eopneumatosuchus_colberti,Eopneumatosuchus_colberti,Semiaquatic,Freshwater,Aquatic,Protosuchia,No,No,No,Yes,Yes,No,No,Yes
cf_Hamadasuchus_rebouli,cf_Hamadasuchus_rebouli,Terrestrial,Terrestrial,Terrestrial,Notosuchia,No,No,Yes,No,No,No,No,No
Campinasuchus_dinizi,Campinasuchus_dinizi,Terrestrial,Terrestrial,Terrestrial,Notosuchia,No,No,Yes,No,No,No,No,No
Eutretauranosuchus_delfsi,Eutretauranosuchus_delfsi,Semiaquatic,Freshwater,Aquatic,Neosuchia,No,No,No,Yes,Yes,No,No,Yes
Rhabdognathus_aslerensis,Rhabdognathus_aslerensis,Semiaquatic,Marine,Aquatic,Neosuchia,No,No,No,Yes,No,Yes,No,Yes
Shamosuchus_djadochtaensis,Shamosuchus_djadochtaensis,Semiaquatic,Freshwater,Aquatic,Neosuchia,No,No,No,Yes,Yes,No,No,Yes
Lohuecosuchus_megadontos,Lohuecosuchus_megadontos,Semiaquatic,Freshwater,Aquatic,Neosuchia,No,No,No,Yes,Yes,No,No,Yes
Gavialis_gangeticus,Gavialis_gangeticus,Semiaquatic,Freshwater,Aquatic,Neosuchia,No,No,No,Yes,Yes,No,No,Yes
Tomistoma_schlegelii,Tomistoma_schlegelii,Semiaquatic,Freshwater,Aquatic,Neosuchia,No,No,No,Yes,Yes,No,No,Yes
Osteolaemus_tetraspis,Osteolaemus_tetraspis,Semiaquatic,Freshwater,Aquatic,Neosuchia,No,No,No,Yes,Yes,No,No,Yes
Mecistops_cataphractus,Mecistops_cataphractus,Semiaquatic,Freshwater,Aquatic,Neosuchia,No,No,No,Yes,Yes,No,No,Yes
Crocodylus_acutus,Crocodylus_acutus,Semiaquatic,Freshwater,Aquatic,Neosuchia,No,No,No,Yes,Yes,No,No,Yes
Crocodylus_johnstoni,Crocodylus_johnstoni,Semiaquatic,Freshwater,Aquatic,Neosuchia,No,No,No,Yes,Yes,No,No,Yes
Crocodylus_moreletii,Crocodylus_moreletii,Semiaquatic,Freshwater,Aquatic,Neosuchia,No,No,No,Yes,Yes,No,No,Yes
Crocodylus_niloticus,Crocodylus_niloticus,Semiaquatic,Freshwater,Aquatic,Neosuchia,No,No,No,Yes,Yes,No,No,Yes
Crocodylus_porosus,Crocodylus_porosus,Semiaquatic,Freshwater,Aquatic,Neosuchia,No,No,No,Yes,Yes,No,No,Yes
Crocodylus_rhombifer,Crocodylus_rhombifer,Semiaquatic,Freshwater,Aquatic,Neosuchia,No,No,No,Yes,Yes,No,No,Yes
Alligator_mississippiensis,Alligator_mississippiensis,Semiaquatic,Freshwater,Aquatic,Neosuchia,No,No,No,Yes,Yes,No,No,Yes
Alligator_sinensis,Alligator_sinensis,Semiaquatic,Freshwater,Aquatic,Neosuchia,No,No,No,Yes,Yes,No,No,Yes
Caiman_crocodilus,Caiman_crocodilus,Semiaquatic,Freshwater,Aquatic,Neosuchia,No,No,No,Yes,Yes,No,No,Yes
Paleosuchus_palpebrosus,Paleosuchus_palpebrosus,Semiaquatic,Freshwater,Aquatic,Neosuchia,No,No,No,Yes,Yes,No,No,Yes
Plagiophthalmosuchus_gracilirostris,Plagiophthalmosuchus_gracilirostris,Semiaquatic,Marine,Aquatic,Thalattosuchia,Yes,No,No,Yes,No,Yes,No,Yes
Macrospondylus_bollensis,Macrospondylus_bollensis,Semiaquatic,Marine,Aquatic,Thalattosuchia,Yes,No,No,Yes,No,Yes,No,Yes
Charitomenosuchus_leedsi,Charitomenosuchus_leedsi,Semiaquatic,Marine,Aquatic,Thalattosuchia,Yes,No,No,Yes,No,Yes,No,Yes
Pelagosaurus_typus,Pelagosaurus_typus,Semiaquatic,Marine,Aquatic,Thalattosuchia,Yes,No,No,Yes,No,Yes,No,Yes
Cricosaurus_schroederi,Cricosaurus_schroederi,Pelagic,Marine,Aquatic,Thalattosuchia,Yes,Yes,No,Yes,No,Yes,Yes,No
Cricosaurus_araucanensis,Cricosaurus_araucanensis,Pelagic,Marine,Aquatic,Thalattosuchia,Yes,Yes,No,Yes,No,Yes,Yes,No
Thalattosuchus_superciliosus,Thalattosuchus_superciliosus,Pelagic,Marine,Aquatic,Thalattosuchia,Yes,Yes,No,Yes,No,Yes,Yes,No
Metriorhynchus_brachyrhynchus,Metriorhynchus_brachyrhynchus,Pelagic,Marine,Aquatic,Thalattosuchia,Yes,Yes,No,Yes,No,Yes,Yes,No
Torvoneustes_coryphaeus,Torvoneustes_coryphaeus,Pelagic,Marine,Aquatic,Thalattosuchia,Yes,Yes,No,Yes,No,Yes,Yes,No
Plesiosuchus_manselii,Plesiosuchus_manselii,Pelagic,Marine,Aquatic,Thalattosuchia,Yes,Yes,No,Yes,No,Yes,Yes,No
